Unnamed: 0,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,DSLR Allowed,Number of google review in lakhs,Best Time to visit
0,Delhi,Delhi,India Gate,War Memorial,0.5,4.6,0,Yes,,Yes,2.6,Evening
1,Delhi,Delhi,Humayun's Tomb,Tomb,2.0,4.5,30,Yes,,Yes,0.4,Afternoon
2,Delhi,Delhi,Akshardham Temple,Temple,5.0,4.6,60,Yes,,No,0.4,Afternoon
3,Delhi,Delhi,Waste to Wonder Park,Theme Park,2.0,4.1,50,Yes,Monday,Yes,0.27,Evening
4,Delhi,Delhi,Jantar Mantar,Observatory,2.0,4.2,15,Yes,,Yes,0.31,Morning
5,Delhi,Delhi,Chandni Chowk,Market,3.0,4.2,0,Yes,Sunday,Yes,0.25,Afternoon
6,Delhi,Delhi,Lotus Temple,Temple,1.0,4.5,0,Yes,Monday,Yes,0.59,Evening
7,Delhi,Delhi,Red Fort,Fort,2.0,4.5,35,Yes,,Yes,1.5,Afternoon
8,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1.0,4.2,0,Yes,,Yes,0.41,Afternoon
9,Delhi,Delhi,Sunder Nursery,Park,2.0,4.6,0,Yes,,Yes,0.16,Afternoon
10,Delhi,Delhi,Garden of Five Senses,Park,2.0,4.1,35,Yes,,Yes,0.23,Morning
11,Delhi,Delhi,Lodhi Garden,Park,1.0,4.5,0,Yes,,Yes,0.48,All
12,Delhi,Delhi,National Gallery of Modern Art,Museum,3.0,4.5,20,Yes,Monday,Yes,0.08,All
13,Delhi,Delhi,National Zoological Park ,Zoo,3.0,4.1,80,Yes,Friday,Yes,0.41,All
14,Delhi,Delhi,Qutub Minar,Monument,1.0,4.5,35,Yes,,Yes,1.37,Afternoon
15,Delhi,Delhi,National Science Centre,Science,5.0,4.4,70,Yes,,Yes,0.23,All
16,Maharastra,Mumbai,Marine Drive,Promenade,2.0,4.5,0,Yes,,Yes,1.5,Evening
17,Maharastra,Mumbai,Gateway of India,Monument,1.0,4.6,0,Yes,,Yes,3.6,All
18,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1.0,4.6,500,Yes,,Yes,0.34,All
19,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,3.0,4.3,50,Yes,Monday,Yes,0.6,All
20,Maharastra,Mumbai,Siddhivinayak Temple,Temple,2.0,4.8,0,Yes,,No,1.05,All
