address,area,city,guest_recommendation,hotel_facilities,hotel_star_rating,latitude,longitude,property_name,property_type,site_review_count,site_review_rating,site_stay_review_rating,state,uniq_id,average_price
"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,85.0,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Gardens|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Internet Access Free|Children's Park|Postal / Parcel Services| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Security at All Hotel Entrances|Suites,2,32.1393865,77.1546599,Baragarh Regency,Resort,87.0,4.0,Service Quality::3.9|Amenities::3.7|Food and Drinks::3.8|Value for Money::4.1|Location::4.0|Cleanliness::4.1,Himachal Pradesh,2c8db027d43a9452a43e88eb30d9f983,2600
"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,87.0,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup,0,28.4720966,77.0725457,Asian Suites A- 585,Guest House,8.0,4.5,Service Quality::4.7|Amenities::4.7|Food and Drinks::4.3|Value for Money::4.7|Location::4.8|Cleanliness::4.8,Haryana,e98f69f889c0235e6dc480e7df6de0de,800
"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,50.0,Swimming Pool|Bar / Lounge |Laundry Service Available|Multi Cuisine Restaurant,0,15.5483979815,73.7576337604,Bevvan Resort,Resort,2.0,2.5,Service Quality::2.5|Amenities::2.5|Food and Drinks::1.0|Value for Money::2.5|Location::2.5|Cleanliness::1.0,Goa,9b59d00eaffc273d83000ed7dcda0e83,800
Simsa,Village Simsa,Manali,100.0,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Car Rental,2,32.2236026,77.1858995,Apple Inn Cottage,Cottage,1.0,5.0,Service Quality::5.0|Amenities::5.0|Food and Drinks::5.0|Value for Money::5.0|Location::5.0|Cleanliness::5.0,Himachal Pradesh,df0971f9c5501af112485ee28b468ce5,2600
"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,63.0,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|Power Backup,2,28.6467775,77.2127353,Anmol Hotel Pvt.Ltd,Hotel,121.0,2.8,Service Quality::2.7|Amenities::2.6|Food and Drinks::2.5|Value for Money::2.9|Location::2.9|Cleanliness::2.6,Delhi,0c3514344c9cda8718f558e84bdb44ef,2600
"Baga Beach, Calangute, Goa",Baga Area,Goa,68.0,Airport Transfer Available / Surcharge|Bar / Lounge |Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Newspapers In Lobby|Family Room|Room Service (24 Hours),3,15.5609234692,73.7497587248,Baia Do Sol (A Boutique Beach Resort),Resort,16.0,3.9,Service Quality::3.9|Amenities::3.8|Food and Drinks::4.7|Value for Money::3.9|Location::4.4|Cleanliness::4.6,Goa,9250fc9e71eb1b99830b039492310c60,4000
"K-69, Kalkaji",Kalkaji,Delhi,,Doctor on Call|Lobby|Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby,2,28.5403197,77.2613326,Balaji Residency,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Delhi,815a2a40bc6cc2b3161553cb67a33b03,2600
"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,76.0,Banquet Facilities|Barbecue Area|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |ATM / Banking|Veranda|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Board Room|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|STD / ISD|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility,3,28.6505881342,77.1946919955,BB Palace-A Boutique Hotel,Hotel,550.0,4.0,Service Quality::4.0|Amenities::3.9|Food and Drinks::4.1|Value for Money::4.0|Location::4.0|Cleanliness::4.1,Delhi,04e102bdd434eaeec45f095aac031106,4000
"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,0.0,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk,1,26.9047751,75.7488641,Art Inn Homestay,Homestay,1.0,3.0,Service Quality::4.0|Amenities::2.0|Food and Drinks::3.0|Value for Money::1.0|Location::4.0|Cleanliness::3.0,Rajasthan,059fa03383171456eb56f4503d499f6f,1500
51 Amri Nagar south ex,South Extension,Delhi,,Doctor on Call|Front Desk|24 Hour Front Desk,0,28.5732907,77.2219418,Arjun Homestay,Homestay,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Delhi,78e97b94135c33b231335c42695149ed,800
